Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
28.0,534.91394,589.2854,1541.47644,759.67175,1285.93274,1660.39844,578.73535,699.55371,532.24249,170.61708,127.38441,86.50929,3465.77661,932.31354,300.98349,180.1351,199.86302,340.03107
28.0,536.55725,591.16211,1542.42859,757.83679,1284.47156,1666.66931,577.21368,697.64886,530.57532,169.85199,127.38441,85.55864,3457.98096,956.95618,300.98349,180.1351,199.86302,340.03107
28.0,535.7356,589.2854,1536.71594,758.75427,1285.20215,1669.45642,579.24255,700.02991,530.15851,170.61708,127.38441,85.55864,3482.48193,936.42065,301.83133,180.96521,200.76331,341.21173
28.0,537.37897,591.16211,1534.81165,763.34167,1288.85535,1671.54663,580.25696,701.45856,532.24249,170.99963,128.0058,86.50929,3494.73242,966.1972,301.83133,180.96521,201.66359,342.3924
28.0,539.02234,593.03882,1547.18921,764.25916,1296.16174,1677.81763,580.76422,701.93475,530.99213,170.99963,128.0058,86.50929,3498.07349,957.98297,302.67917,180.96521,200.76331,341.21173
28.0,538.20062,590.22375,1539.57227,764.25916,1291.77795,1672.24341,581.77863,703.3634,532.65924,170.99963,128.0058,86.50929,3500.30078,960.0365,302.67917,180.96521,201.66359,341.21173
28.33,539.84399,592.10046,1541.47644,765.17664,1291.77795,1676.42407,581.27142,703.3634,532.24249,170.99963,128.0058,86.50929,3493.61865,959.00977,302.67917,180.96521,201.66359,341.21173
28.33,539.02234,590.22375,1531.95532,767.0116,1290.31665,1674.33374,583.8075,706.6969,533.49286,171.76474,128.62718,86.50929,3506.98291,937.44745,302.67917,180.96521,201.66359,341.21173
28.67,538.20062,589.2854,1532.90747,767.0116,1289.58606,1672.94019,584.31476,707.64929,533.90967,171.76474,128.62718,86.50929,3505.86914,935.39386,302.67917,180.96521,201.66359,341.21173
28.33,538.20062,589.2854,1533.85962,766.09412,1288.85535,1676.42407,582.79309,704.3158,532.24249,171.38219,128.62718,86.50929,3493.61865,962.09009,301.83133,180.96521,201.66359,341.21173
28.67,541.48737,592.10046,1542.42859,769.76404,1295.43115,1687.57239,581.27142,703.3634,531.40887,170.99963,128.62718,86.50929,3496.95972,937.44745,303.52701,180.96521,201.66359,342.3924
28.67,542.30902,593.03882,1542.42859,770.68152,1295.43115,1684.0885,582.79309,705.74445,531.82568,171.38219,128.62718,86.50929,3496.95972,962.09009,302.67917,180.96521,201.66359,341.21173
28.33,542.30902,592.10046,1541.47644,773.4339,1296.89246,1675.72729,587.86523,712.88763,535.57678,172.14729,128.62718,86.50929,3494.73242,930.26001,301.83133,180.1351,200.76331,338.8504
28.33,548.06079,597.73059,1558.61462,776.18634,1304.19885,1700.81091,581.77863,705.26825,532.65924,170.23454,128.62718,86.50929,3470.23145,954.90265,302.67917,180.96521,200.76331,340.03107
29.0,547.23914,597.73059,1561.47095,777.10382,1307.85205,1698.02393,583.30029,707.1731,533.07605,170.99963,128.62718,86.50929,3480.25439,933.34033,302.67917,180.96521,200.76331,340.03107
28.67,548.06079,599.6073,1560.5188,777.10382,1308.58276,1699.41736,581.77863,706.22064,533.49286,170.61708,128.62718,86.50929,3472.45874,957.98297,302.67917,180.96521,200.76331,340.03107
28.67,548.06079,597.73059,1558.61462,778.0213,1307.12146,1697.32715,578.22809,701.93475,532.65924,169.85199,128.62718,86.50929,3465.77661,957.98297,301.83133,180.96521,200.76331,340.03107
28.33,550.52582,599.6073,1566.23157,780.77374,1312.23596,1700.81091,576.70648,701.45856,531.40887,169.85199,128.62718,86.50929,3465.77661,956.95618,302.67917,180.96521,199.86302,338.8504
29.0,527.5188,576.1485,1396.75476,762.42419,1226.75061,1598.38599,582.79309,708.60175,540.99512,170.61708,127.38441,86.50929,3405.63794,929.23322,291.65726,173.49417,197.16217,330.58578
28.67,571.06787,616.49762,1583.36963,794.53589,1321.00366,1706.38513,576.19922,700.50616,530.15851,167.93924,127.38441,86.50929,3402.29687,926.15289,298.43997,178.47487,197.16217,332.94708
